CO,NO2,O3,SO2,PM2.5,PM10,City
161.89,0.85,67.23,0.23,2.3,3.27,Spring Hill
148.54,0.38,75.82,0.06,1.0,1.37,Bend
188.59,5.01,141.62,6.26,8.31,16.42,Huntington Beach
191.93,4.16,174.52,4.59,10.1,16.14,Los Angeles
153.54,0.19,35.41,0.21,1.26,2.22,San Juan
195.27,1.19,160.22,2.38,10.96,16.79,Simi Valley
240.33,1.56,63.66,0.17,1.47,1.52,Roanoke
257.02,8.74,51.5,1.43,2.54,3.39,Hialeah
220.3,0.35,31.83,0.08,1.24,2.66,Lafayette
236.99,3.68,60.08,0.25,6.47,6.64,Palm Bay
230.31,1.59,53.64,0.33,1.29,1.87,Fort Worth
186.92,3.56,111.58,5.48,7.15,8.06,Bellingham
176.91,1.65,77.96,0.59,3.16,3.34,Independence
213.62,1.21,84.4,0.28,5.37,5.66,Peoria
165.22,1.48,86.55,0.45,3.12,8.7,Fall River
178.58,1.05,143.05,0.59,5.78,7.3,Yuba City
223.64,0.95,36.84,0.27,1.05,1.34,Tuscaloosa
193.6,0.95,86.55,0.14,4.35,4.49,Palatine
160.22,0.51,98.71,0.56,3.39,5.59,Napa
220.3,0.7,65.8,0.09,1.51,1.68,Franklin
156.88,0.88,103.0,0.2,3.5,5.77,Nampa
260.35,3.26,67.95,0.63,3.97,4.02,Cheektowaga
236.99,2.96,69.38,0.91,1.67,2.36,Plano
160.22,1.01,125.89,0.54,3.92,4.96,Merced
155.21,0.56,66.52,0.06,1.21,1.72,Salem
180.24,3.26,101.57,0.75,2.6,4.29,Lowell
223.64,5.48,73.67,1.33,2.18,3.01,Glen Burnie
220.3,11.31,88.69,2.68,7.43,16.21,Clifton
233.65,2.59,62.23,0.32,2.77,3.64,Dale City
156.88,0.93,98.71,0.41,2.64,4.24,Fort Collins
183.58,4.63,98.71,3.1,5.08,8.86,Hayward
160.22,1.99,43.63,0.95,0.5,0.6,Woodbury
277.04,3.98,92.98,1.06,4.21,4.4,Dearborn
